SKU,Name,Parent-SKU,Min - Max,Typ,Standardpreis,Extra-Preis,Warengruppe,Menü/Bildschirm,Schaltflächenname,Schaltflächenfarbe,Schaltflächenstil,Barcode,Kostenpreis,Verpackungsinhalt (Lagerverwaltung),Einheit (Lagerverwaltung),Gewicht,"Tara (Gramm, Verkauf nach Gewicht)",Freigabe-Status,Name auf dem Produktionsbon,Gang,Statistikgruppe,Produktionsanweisung
30,Sahne,,1,Gruppe,,,,"Kasse Schwarzenbek 14.04.2026/Menü/Eis,Kasse Schwarzenbek 14.04.2026/Menü/Kaffee & Tee,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen",Sahne,WHITE,Hintergrund,,,,,,,LOCAL,,,default/null,
28,,30,,,,,,,,,,,,,,,,,,,,
29,,30,,,,,,,,,,,,,,,,,,,,
37,Toppings,,1-*,Gruppe,,,,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen,Streugut,LIGHT_RED,Akzent,,,,,,,LOCAL,,,default/null,
134,,37,,,,,,,,,,,,,,,,,,,,
41,"Nüsse,",,1,Gruppe,,,,,"Nüsse,",BROWN,Akzent,,,,,,,LOCAL,,,default/null,
42,,41,,,,,,,,,,,,,,,,,,,,
43,,41,,,,,,,,,,,,,,,,,,,,
44,,41,,,,,,,,,,,,,,,,,,,,
45,,41,,,,,,,,,,,,,,,,,,,,
114,Shake,,1-1,Gruppe,,,,,Milchshake,BLUE,Akzent,,,,,,,LOCAL,,,,
15,,114,,,,,,,,,,,,,,,,,,,,
94,,114,,,,,,,,,,,,,,,,,,,,
116,Eiscafé,,1-1,Gruppe,,,,,Eiscafé,BLUE,Akzent,,,,,,,LOCAL,,,,
62,,116,,,,,,,,,,,,,,,,,,,,
115,,116,,,,,,,,,,,,,,,,,,,,
117,Eisschokolade !,,1-*,Gruppe,,,,,Eisschokolade,BLUE,Akzent,,,,,,,LOCAL,,,,
95,,117,,,,,,,,,,,,,,,,,,,,
96,,117,,,,,,,,,,,,,,,,,,,,
118,Roll,,1-*,Gruppe,,,,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Schnecken,BROWN,Hintergrund,,,,,,,LOCAL,,,,
103,,118,,,,,,,,,,,,,,,,,,,,
102,,118,,,,,,,,,,,,,,,,,,,,
137,,118,,,,,,,,,,,,,,,,,,,,
138,,118,,,,,,,,,,,,,,,,,,,,
119,Waffeln,,1-1,Gruppe,,,,Kasse Schwarzenbek 14.04.2026/Menü/Kuchen,Waffeln,YELLOW,Hintergrund,,,,,,,LOCAL,,,,
105,,119,,,,,,,,,,,,,,,,,,,,
8,,119,,,,,,,,,,,,,,,,,,,,
120,,119,,,,,,,,,,,,,,,,,,,,
121,Wein & Sekt,,1-1,Gruppe,,,,,Wein & Sekt,BLUE,Akzent,,,,,,,LOCAL,,,,
55,,121,,,,,,,,,,,,,,,,,,,,
67,,121,,,,,,,,,,,,,,,,,,,,
65,,121,,,,,,,,,,,,,,,,,,,,
126,Eistorten,,1-1,Gruppe,,,,Kasse Schwarzenbek 14.04.2026/Menü/Eistorten & Eispralinen,Eistorte,BLUE,Akzent,,,,,,,LOCAL,,,,
125,,126,,,,,,,,,,,,,,,,,,,,
124,,126,,,,,,,,,,,,,,,,,,,,
123,,126,,,,,,,,,,,,,,,,,,,,
